Source,Target,Type
"family:Philopteridae","modality:Mechanoreception","HAS_SENSE"
"family:Mammutidae","order:Proboscidea","MEMBER_OF"
"family:Ampeliscidae","order:Amphipoda","MEMBER_OF"
"family:Ampeliscidae","modality:Mechanoreception","HAS_SENSE"
"family:Ampeliscidae","modality:Chemoreception","HAS_SENSE"
"family:Convolutidae","order:Acoela","MEMBER_OF"
"family:Anisolabididae","order:Dermaptera","MEMBER_OF"
"family:Anisolabididae","modality:Mechanoreception","HAS_SENSE"
"family:Anisolabididae","modality:Chemoreception","HAS_SENSE"
"family:Raspailiidae","order:Axinellida","MEMBER_OF"
"family:Raspailiidae","modality:Mechanoreception","HAS_SENSE"
"family:Raspailiidae","modality:Chemoreception","HAS_SENSE"
"family:Plethodontidae","order:Urodela","MEMBER_OF"
"family:Plethodontidae","modality:Photoreception","HAS_SENSE"
"family:Plethodontidae","modality:Chemoreception","HAS_SENSE"
"family:Plethodontidae","modality:Mechanoreception","HAS_SENSE"
"family:Sabellidae","order:Unknown","MEMBER_OF"
"family:Sabellidae","modality:Mechanoreception","HAS_SENSE"
"family:Sabellidae","modality:Chemoreception","HAS_SENSE"
"family:Millotauropodidae","order:Hexamerocerata","MEMBER_OF"
"family:Monognathidae","order:Unknown","MEMBER_OF"
"family:Monognathidae","modality:Chemoreception","HAS_SENSE"
"family:Monognathidae","modality:Mechanoreception","HAS_SENSE"
"family:Protomonotresidae","order:Prolecithophora","MEMBER_OF"
"family:Protomonotresidae","modality:Photoreception","HAS_SENSE"
"family:Protomonotresidae","modality:Mechanoreception","HAS_SENSE"
"family:Protomonotresidae","modality:Chemoreception","HAS_SENSE"
"family:Desmodoridae","order:Desmodorida","MEMBER_OF"
"family:Desmodoridae","modality:Chemoreception","HAS_SENSE"
"family:Desmodoridae","modality:Mechanoreception","HAS_SENSE"
"family:Sagittidae","order:Aphragmophora","MEMBER_OF"
"family:Lernaeodiscidae","order:Unknown","MEMBER_OF"
"family:Trimusculidae","order:Eupulmonata","MEMBER_OF"
"family:Trimusculidae","modality:Chemoreception","HAS_SENSE"
"family:Trimusculidae","modality:Mechanoreception","HAS_SENSE"
"family:Eucopiidae","order:Lophogastrida","MEMBER_OF"
"family:Notodelphyidae","order:Cyclopoida","MEMBER_OF"
"family:Notodelphyidae","modality:Mechanoreception","HAS_SENSE"
"family:Notodelphyidae","modality:Chemoreception","HAS_SENSE"
"family:Escavadodontidae","order:Palaeanodonta","MEMBER_OF"
"family:Escavadodontidae","modality:Chemoreception","HAS_SENSE"
"family:Escavadodontidae","modality:Mechanoreception","HAS_SENSE"
"family:Exocoetidae","order:Beloniformes","MEMBER_OF"
"family:Exocoetidae","modality:Photoreception","HAS_SENSE"
"family:Exocoetidae","modality:Mechanoreception","HAS_SENSE"
"family:Exocoetidae","modality:Chemoreception","HAS_SENSE"
"family:Pedinidae","order:Unknown","MEMBER_OF"
"family:Pedinidae","modality:Mechanoreception","HAS_SENSE"
"family:Derocheilocarididae","order:Mystacocaridida","MEMBER_OF"
"family:Derocheilocarididae","modality:Mechanoreception","HAS_SENSE"
"family:Derocheilocarididae","modality:Chemoreception","HAS_SENSE"
"family:Cosmetidae","order:Opiliones","MEMBER_OF"
"family:Zeilleriidae","order:Terebratulida","MEMBER_OF"
"family:Phasianidae","order:Unknown","MEMBER_OF"
"family:Phasianidae","modality:Photoreception","HAS_SENSE"
"family:Phasianidae","modality:Mechanoreception","HAS_SENSE"
"family:Otididae","order:Unknown","MEMBER_OF"
"family:Otididae","modality:Photoreception","HAS_SENSE"
"family:Otididae","modality:Mechanoreception","HAS_SENSE"
"family:Mugilidae","order:Not Available","MEMBER_OF"
"family:Mugilidae","modality:Photoreception","HAS_SENSE"
"family:Mugilidae","modality:Chemoreception","HAS_SENSE"
"family:Mugilidae","modality:Mechanoreception","HAS_SENSE"
"family:Anaspidesidae","order:Unknown","MEMBER_OF"
"family:Anaspidesidae","modality:Photoreception","HAS_SENSE"
"family:Anaspidesidae","modality:Mechanoreception","HAS_SENSE"
"family:Anaspidesidae","modality:Chemoreception","HAS_SENSE"
"family:Struthionidae","order:Struthioniformes","MEMBER_OF"
"family:Struthionidae","modality:Photoreception","HAS_SENSE"
"family:Struthionidae","modality:Mechanoreception","HAS_SENSE"
"family:Struthionidae","modality:Chemoreception","HAS_SENSE"
"family:Thylacinidae","order:Dasyuromorphia","MEMBER_OF"
"family:Thylacinidae","modality:Photoreception","HAS_SENSE"
"family:Thylacinidae","modality:Chemoreception","HAS_SENSE"
"family:Thylacinidae","modality:Mechanoreception","HAS_SENSE"
"family:Prayidae","order:Siphonophorae","MEMBER_OF"
"family:Cambaridae","order:Decapoda","MEMBER_OF"
"family:Cambaridae","modality:Photoreception","HAS_SENSE"
"family:Cambaridae","modality:Chemoreception","HAS_SENSE"
"family:Cambaridae","modality:Mechanoreception","HAS_SENSE"
"family:Siphonariidae","order:Pulmonata","MEMBER_OF"
"family:Siphonariidae","modality:Chemoreception","HAS_SENSE"
"family:Siphonariidae","modality:Mechanoreception","HAS_SENSE"
"family:Dasyuridae","order:Not specified in context","MEMBER_OF"
"family:Dasyuridae","modality:Photoreception","HAS_SENSE"
"family:Dasyuridae","modality:Mechanoreception","HAS_SENSE"
"family:Dasyuridae","modality:Chemoreception","HAS_SENSE"
"family:Bythitidae","order:Ophidiiformes","MEMBER_OF"
"family:Bythitidae","modality:Photoreception","HAS_SENSE"
"family:Bythitidae","modality:Chemoreception","HAS_SENSE"
"family:Bythitidae","modality:Mechanoreception","HAS_SENSE"
"family:Echinoderidae","order:Cyclorhagida","MEMBER_OF"
"family:Echinoderidae","modality:Mechanoreception","HAS_SENSE"
"family:Echinoderidae","modality:Chemoreception","HAS_SENSE"
"family:Zoanthidae","order:Unknown","MEMBER_OF"
"family:Zoanthidae","modality:Mechanoreception","HAS_SENSE"
"family:Zoanthidae","modality:Chemoreception","HAS_SENSE"
"family:Rallidae","order:Gruiformes","MEMBER_OF"
"family:Rallidae","modality:Photoreception","HAS_SENSE"
"family:Rallidae","modality:Mechanoreception","HAS_SENSE"
"family:Limacinidae","order:Thecosomata","MEMBER_OF"
"family:Limacinidae","modality:Chemoreception","HAS_SENSE"
"family:Limacinidae","modality:Mechanoreception","HAS_SENSE"
"family:Mordaciidae","order:Not specified in context","MEMBER_OF"
"family:Mordaciidae","modality:Photoreception","HAS_SENSE"
"family:Mordaciidae","modality:Mechanoreception","HAS_SENSE"
"family:Mordaciidae","modality:Chemoreception","HAS_SENSE"
"family:Cyatholaimidae","order:Desmodorida","MEMBER_OF"
"family:Cyatholaimidae","modality:Chemoreception","HAS_SENSE"
"family:Cyatholaimidae","modality:Mechanoreception","HAS_SENSE"
"family:Irciniidae","order:Dictyoceratida","MEMBER_OF"
"family:Irciniidae","modality:Mechanoreception","HAS_SENSE"
"family:Irciniidae","modality:Chemoreception","HAS_SENSE"
"family:Bentheuphausiidae","order:Unknown","MEMBER_OF"
"family:Bentheuphausiidae","modality:Mechanoreception","HAS_SENSE"
"family:Bentheuphausiidae","modality:Chemoreception","HAS_SENSE"
"family:Sinuolineidae","order:Bivalvulida","MEMBER_OF"
"family:Sinuolineidae","modality:Photoreception","HAS_SENSE"
"family:Talpidae","order:Eulipotyphla","MEMBER_OF"
"family:Talpidae","modality:Photoreception","HAS_SENSE"
"family:Talpidae","modality:Mechanoreception","HAS_SENSE"
"family:Talpidae","modality:Chemoreception","HAS_SENSE"
"family:Tellinidae","order:Cardiida","MEMBER_OF"
"family:Tellinidae","modality:Mechanoreception","HAS_SENSE"
"family:Tellinidae","modality:Chemoreception","HAS_SENSE"
"family:Brontotheriidae","order:Perissodactyla","MEMBER_OF"
"family:Aeginidae","order:Narcomedusae","MEMBER_OF"
"family:Aeginidae","modality:Mechanoreception","HAS_SENSE"
"family:Aeginidae","modality:Chemoreception","HAS_SENSE"
"family:Diplommatinidae","order:Not provided in context","MEMBER_OF"
"family:Diplommatinidae","modality:Chemoreception","HAS_SENSE"
"family:Diplommatinidae","modality:Mechanoreception","HAS_SENSE"
"family:Rhinocricidae","order:Spirobolida","MEMBER_OF"
"family:Rhinocricidae","modality:Mechanoreception","HAS_SENSE"
"family:Rhinocricidae","modality:Chemoreception","HAS_SENSE"
"family:Rhinocricidae","modality:hygroreception","HAS_SENSE"
"family:Polymixiidae","order:Polymixiiformes","MEMBER_OF"
"family:Polymixiidae","modality:Photoreception","HAS_SENSE"
"family:Polymixiidae","modality:Mechanoreception","HAS_SENSE"
"family:Polymixiidae","modality:Chemoreception","HAS_SENSE"
"family:Baetidae","order:Ephemeroptera","MEMBER_OF"
"family:Baetidae","modality:Photoreception","HAS_SENSE"
"family:Baetidae","modality:Mechanoreception","HAS_SENSE"
"family:Sagartiidae","order:Unknown","MEMBER_OF"
"family:Sagartiidae","modality:Mechanoreception","HAS_SENSE"
"family:Sagartiidae","modality:Chemoreception","HAS_SENSE"
"family:Pauropodidae","order:Tetramerocerata","MEMBER_OF"
"family:Pauropodidae","modality:Mechanoreception","HAS_SENSE"
"family:Pauropodidae","modality:Chemoreception","HAS_SENSE"
"family:Mustelidae","order:Carnivora","MEMBER_OF"
"family:Mustelidae","modality:Photoreception","HAS_SENSE"
"family:Mustelidae","modality:Chemoreception","HAS_SENSE"
"family:Mustelidae","modality:Mechanoreception","HAS_SENSE"
"family:Dimylidae","order:Unknown","MEMBER_OF"
"family:Dimylidae","modality:Chemoreception","HAS_SENSE"
"family:Dimylidae","modality:Mechanoreception","HAS_SENSE"
"family:Hexarthridae","order:Ploima","MEMBER_OF"
"family:Polymastiidae","order:Polymastiida","MEMBER_OF"
"family:Polymastiidae","modality:Chemoreception","HAS_SENSE"
"family:Polymastiidae","modality:Mechanoreception","HAS_SENSE"
"family:Eosentomidae","order:Protura","MEMBER_OF"
"family:Ophidiasteridae","order:Unknown","MEMBER_OF"
"family:Ophiotrichidae","order:Unknown","MEMBER_OF"
"family:Ophiotrichidae","modality:Mechanoreception","HAS_SENSE"
"family:Ophiotrichidae","modality:Chemoreception","HAS_SENSE"
"family:Anoplocephalidae","order:Cestoda","MEMBER_OF"
"family:Anoplocephalidae","modality:Chemoreception","HAS_SENSE"
"family:Anoplocephalidae","modality:Mechanoreception","HAS_SENSE"
"family:Anoplocephalidae","modality:Photoreception","HAS_SENSE"
"family:Cateriidae","order:Cyclorhagida/Allomalorhagida","MEMBER_OF"
"family:Cateriidae","modality:Mechanoreception","HAS_SENSE"
"family:Cateriidae","modality:Chemoreception","HAS_SENSE"
"family:Argasidae","order:Ixodida","MEMBER_OF"
"family:Argasidae","modality:Mechanoreception","HAS_SENSE"
"family:Argasidae","modality:hygroreception","HAS_SENSE"
"family:Argasidae","modality:Chemoreception","HAS_SENSE"
"family:Spirulidae","order:Spirulida","MEMBER_OF"
"family:Spirulidae","modality:bioluminescence","HAS_SENSE"
"family:Hormathiidae","order:Actiniaria","MEMBER_OF"
"family:Hormathiidae","modality:Mechanoreception","HAS_SENSE"
"family:Hormathiidae","modality:Chemoreception","HAS_SENSE"
"family:Scolopendridae","order:Chilopoda","MEMBER_OF"
"family:Scolopendridae","modality:Mechanoreception","HAS_SENSE"
"family:Ricordeidae","order:Corallimorpharia","MEMBER_OF"
"family:Ricordeidae","modality:Chemoreception","HAS_SENSE"
"family:Ricordeidae","modality:Mechanoreception","HAS_SENSE"
"family:Ricordeidae","modality:Photoreception","HAS_SENSE"
"family:Characidae","order:Characiformes","MEMBER_OF"
"family:Characidae","modality:Photoreception","HAS_SENSE"
"family:Characidae","modality:Chemoreception","HAS_SENSE"
"family:Characidae","modality:Mechanoreception","HAS_SENSE"
"family:Milnesiidae","order:Apochela","MEMBER_OF"
"family:Milnesiidae","modality:Mechanoreception","HAS_SENSE"
"family:Milnesiidae","modality:Chemoreception","HAS_SENSE"
"family:Hemiramphidae","order:Unknown","MEMBER_OF"
"family:Hemiramphidae","modality:Photoreception","HAS_SENSE"
"family:Hemiramphidae","modality:Mechanoreception","HAS_SENSE"
"family:Hemiramphidae","modality:Chemoreception","HAS_SENSE"
"family:Neoechinorhynchidae","order:Neoechinorhynchida","MEMBER_OF"
"family:Neoechinorhynchidae","modality:Chemoreception","HAS_SENSE"
"family:Neoechinorhynchidae","modality:Mechanoreception","HAS_SENSE"
"family:Neoechinorhynchidae","modality:Photoreception","HAS_SENSE"
"family:Acteonidae","order:Lower Heterobranchia","MEMBER_OF"
"family:Acteonidae","modality:Chemoreception","HAS_SENSE"
"family:Acteonidae","modality:Mechanoreception","HAS_SENSE"
"family:Koonungidae","order:Anaspidacea","MEMBER_OF"
"family:Koonungidae","modality:Mechanoreception","HAS_SENSE"
"family:Koonungidae","modality:Chemoreception","HAS_SENSE"
"family:Hymedesmiidae","order:Poecilosclerida","MEMBER_OF"
"family:Hymedesmiidae","modality:Mechanoreception","HAS_SENSE"
"family:Hymedesmiidae","modality:Chemoreception","HAS_SENSE"
"family:Torpedinidae","order:N/A","MEMBER_OF"
"family:Torpedinidae","modality:Electroreception","HAS_SENSE"
"family:Torpedinidae","modality:Photoreception","HAS_SENSE"
"family:Torpedinidae","modality:Mechanoreception","HAS_SENSE"
"family:Torpedinidae","modality:Chemoreception","HAS_SENSE"
"family:Cytheruridae","order:Podocopida","MEMBER_OF"
"family:Cytheruridae","modality:Chemoreception","HAS_SENSE"
"family:Cytheruridae","modality:Mechanoreception","HAS_SENSE"
"family:Mecistocephalidae","order:Geophilomorpha","MEMBER_OF"
"family:Mecistocephalidae","modality:Chemoreception","HAS_SENSE"
"family:Mecistocephalidae","modality:Mechanoreception","HAS_SENSE"
"family:Scutigerinidae","order:Unknown","MEMBER_OF"
"family:Otinidae","order:Eupulmonata","MEMBER_OF"
"family:Otinidae","modality:Chemoreception","HAS_SENSE"
"family:Otinidae","modality:Mechanoreception","HAS_SENSE"
"family:Carybdeidae","order:Cubozoa","MEMBER_OF"
"family:Carybdeidae","modality:Photoreception","HAS_SENSE"
"family:Carybdeidae","modality:Mechanoreception","HAS_SENSE"
"family:Carybdeidae","modality:Chemoreception","HAS_SENSE"
"family:Gnathostomulidae","order:Bursovaginoidea","MEMBER_OF"
"family:Amphiporidae","order:Hoplonemertea","MEMBER_OF"
"family:Poecilasmatidae","order:Unknown","MEMBER_OF"
"family:Poecilasmatidae","modality:Mechanoreception","HAS_SENSE"
"family:Poecilasmatidae","modality:Chemoreception","HAS_SENSE"
"family:Procaviidae","order:Hyracoidea","MEMBER_OF"
"family:Procaviidae","modality:Photoreception","HAS_SENSE"
"family:Procaviidae","modality:Mechanoreception","HAS_SENSE"
"family:Procaviidae","modality:Chemoreception","HAS_SENSE"
"family:Monocelididae","order:Proseriata","MEMBER_OF"
"family:Monocelididae","modality:Chemoreception","HAS_SENSE"
"family:Monocelididae","modality:Mechanoreception","HAS_SENSE"
"family:Polyxenidae","order:Polyxenida","MEMBER_OF"
"family:Polyxenidae","modality:Chemoreception","HAS_SENSE"
"family:Polyxenidae","modality:Mechanoreception","HAS_SENSE"
"family:Hymerhabdiidae","order:Agelasida","MEMBER_OF"
"family:Hymerhabdiidae","modality:Mechanoreception","HAS_SENSE"
"family:Hymerhabdiidae","modality:Chemoreception","HAS_SENSE"
"family:Chlamydoselachidae","order:Hexanchiformes","MEMBER_OF"
"family:Chlamydoselachidae","modality:Photoreception","HAS_SENSE"
"family:Chlamydoselachidae","modality:Electroreception","HAS_SENSE"
"family:Chlamydoselachidae","modality:Mechanoreception","HAS_SENSE"
"family:Chlamydoselachidae","modality:Chemoreception","HAS_SENSE"
"family:Gonyleptidae","order:Opiliones","MEMBER_OF"
"family:Gonyleptidae","modality:Photoreception","HAS_SENSE"
"family:Gonyleptidae","modality:Mechanoreception","HAS_SENSE"
"family:Gonyleptidae","modality:Chemoreception","HAS_SENSE"
"family:Hydrobatidae","order:Procellariiformes","MEMBER_OF"
"family:Hydrobatidae","modality:Photoreception","HAS_SENSE"
"family:Hydrobatidae","modality:Chemoreception","HAS_SENSE"
"family:Hydrobatidae","modality:Mechanoreception","HAS_SENSE"
"family:Cavoliniidae","order:Opisthobranchia","MEMBER_OF"
"family:Cavoliniidae","modality:Chemoreception","HAS_SENSE"
"family:Cavoliniidae","modality:Mechanoreception","HAS_SENSE"
"family:Piscicolidae","order:Rhynchobdellida","MEMBER_OF"
"family:Piscicolidae","modality:Chemoreception","HAS_SENSE"
"family:Piscicolidae","modality:Mechanoreception","HAS_SENSE"
"family:Scyliorhinidae","order:Carcharhiniformes","MEMBER_OF"
"family:Scyliorhinidae","modality:Photoreception","HAS_SENSE"
"family:Scyliorhinidae","modality:Electroreception","HAS_SENSE"
"family:Scyliorhinidae","modality:Mechanoreception","HAS_SENSE"
"family:Scyliorhinidae","modality:Chemoreception","HAS_SENSE"
"family:Stylocordylidae","order:Suberitida","MEMBER_OF"
"family:Stylocordylidae","modality:Mechanoreception","HAS_SENSE"
"family:Stylocordylidae","modality:Chemoreception","HAS_SENSE"
"family:Asperspinidae","order:Acochlidiacea","MEMBER_OF"
"family:Asperspinidae","modality:Chemoreception","HAS_SENSE"
"family:Asperspinidae","modality:Mechanoreception","HAS_SENSE"
"family:Axinellidae","order:Axinellida","MEMBER_OF"
"family:Axinellidae","modality:Photoreception","HAS_SENSE"
"family:Axinellidae","modality:Mechanoreception","HAS_SENSE"
"family:Axinellidae","modality:Chemoreception","HAS_SENSE"
"family:Gnosonesimidae","order:Unknown","MEMBER_OF"
"family:Gnosonesimidae","modality:Chemoreception","HAS_SENSE"
"family:Gnosonesimidae","modality:Mechanoreception","HAS_SENSE"
"family:Pseudostichopodidae","order:Unknown","MEMBER_OF"
"family:Pseudostichopodidae","modality:Mechanoreception","HAS_SENSE"
"family:Pseudostichopodidae","modality:Chemoreception","HAS_SENSE"
"family:Dendrogastridae","order:Dendrogastrida","MEMBER_OF"
"family:Chaeropodidae","order:Peramelemorphia","MEMBER_OF"
"family:Chaeropodidae","modality:Mechanoreception","HAS_SENSE"
"family:Mesoraphidiidae","order:Raphidiomorpha","MEMBER_OF"
"family:Dalyelliidae","order:Rhabdocoela","MEMBER_OF"
"family:Dalyelliidae","modality:Chemoreception","HAS_SENSE"
"family:Dalyelliidae","modality:Mechanoreception","HAS_SENSE"
"family:Amphinomidae","order:Polychaeta","MEMBER_OF"
"family:Amphinomidae","modality:Chemoreception","HAS_SENSE"
"family:Amphinomidae","modality:Mechanoreception","HAS_SENSE"
"family:Ophiolepididae","order:Unknown","MEMBER_OF"
"family:Ophiolepididae","modality:Chemoreception","HAS_SENSE"
"family:Ophiolepididae","modality:Mechanoreception","HAS_SENSE"
"family:Geryoniidae","order:Trachymedusae","MEMBER_OF"
"family:Geryoniidae","modality:Mechanoreception","HAS_SENSE"
"family:Geryoniidae","modality:Chemoreception","HAS_SENSE"
"family:Ptilocercidae","order:Unknown","MEMBER_OF"
"family:Megatheriidae","order:Not available in context","MEMBER_OF"
"family:Megatheriidae","modality:Mechanoreception","HAS_SENSE"
"family:Megatheriidae","modality:Chemoreception","HAS_SENSE"
"family:Hyocrinidae","order:Hyocrinida","MEMBER_OF"
"family:Semnoderidae","order:Cyclorhagida","MEMBER_OF"
"family:Mazocraeidae","order:Mazocraeidea","MEMBER_OF"
"family:Suberitidae","order:Suberitida","MEMBER_OF"
"family:Suberitidae","modality:Mechanoreception","HAS_SENSE"
"family:Suberitidae","modality:Chemoreception","HAS_SENSE"
"family:Muspiceidae","order:Muspiceida","MEMBER_OF"
"family:Muspiceidae","modality:Chemoreception","HAS_SENSE"
"family:Muspiceidae","modality:Mechanoreception","HAS_SENSE"
"family:Cyematidae","order:Unknown","MEMBER_OF"
"family:Cyematidae","modality:Mechanoreception","HAS_SENSE"
"family:Cyematidae","modality:Chemoreception","HAS_SENSE"
"family:Australiteuthidae","order:Myopsida","MEMBER_OF"
"family:Australiteuthidae","modality:Photoreception","HAS_SENSE"
"family:Australiteuthidae","modality:Chemoreception","HAS_SENSE"
"family:Australiteuthidae","modality:Mechanoreception","HAS_SENSE"
"family:Linguatulidae","order:Porocephalida","MEMBER_OF"
"family:Linguatulidae","modality:Chemoreception","HAS_SENSE"
"family:Linguatulidae","modality:Mechanoreception","HAS_SENSE"
"family:Henicopidae","order:Lithobiomorpha","MEMBER_OF"
"family:Henicopidae","modality:Chemoreception","HAS_SENSE"
"family:Henicopidae","modality:Mechanoreception","HAS_SENSE"
"family:Cuculidae","order:Cuculiformes","MEMBER_OF"
"family:Cuculidae","modality:Photoreception","HAS_SENSE"
"family:Cuculidae","modality:Mechanoreception","HAS_SENSE"
"family:Eremiaphilidae","order:Mantodea","MEMBER_OF"
"family:Eremiaphilidae","modality:Photoreception","HAS_SENSE"
"family:Eremiaphilidae","modality:Mechanoreception","HAS_SENSE"
"family:Eremiaphilidae","modality:Chemoreception","HAS_SENSE"
"family:Laganidae","order:Clypeasteroida","MEMBER_OF"
"family:Laganidae","modality:Mechanoreception","HAS_SENSE"
"family:Laganidae","modality:Chemoreception","HAS_SENSE"
"family:Presbyornithidae","order:Unknown","MEMBER_OF"
"family:Presbyornithidae","modality:Photoreception","HAS_SENSE"
"family:Presbyornithidae","modality:Mechanoreception","HAS_SENSE"
"family:Julidae","order:Julida","MEMBER_OF"
"family:Julidae","modality:Chemoreception","HAS_SENSE"
"family:Julidae","modality:Mechanoreception","HAS_SENSE"
"family:Haminoeidae","order:Not available in context","MEMBER_OF"
"family:Haminoeidae","modality:Chemoreception","HAS_SENSE"
"family:Haminoeidae","modality:Mechanoreception","HAS_SENSE"
"family:Dromornithidae","order:Galloanserae","MEMBER_OF"
"family:Dromornithidae","modality:Photoreception","HAS_SENSE"
"family:Dromornithidae","modality:Mechanoreception","HAS_SENSE"
"family:Dromornithidae","modality:Chemoreception","HAS_SENSE"
"family:Chironomidae","order:Diptera","MEMBER_OF"
"family:Chironomidae","modality:Photoreception","HAS_SENSE"
"family:Chironomidae","modality:Mechanoreception","HAS_SENSE"
"family:Chironomidae","modality:Chemoreception","HAS_SENSE"
"family:Laetmogonidae","order:Unknown","MEMBER_OF"
"family:Laetmogonidae","modality:Mechanoreception","HAS_SENSE"
"family:Laetmogonidae","modality:Chemoreception","HAS_SENSE"
"family:Pyrosomatidae","order:Tunicata","MEMBER_OF"
"family:Pyrosomatidae","modality:Chemoreception","HAS_SENSE"
"family:Pyrosomatidae","modality:Mechanoreception","HAS_SENSE"
"family:Pyrosomatidae","modality:bioluminescence","HAS_SENSE"
"family:Balanidae","order:Balanomorpha","MEMBER_OF"
"family:Balanidae","modality:Mechanoreception","HAS_SENSE"
"family:Bolinopsidae","order:Ctenophora","MEMBER_OF"
"family:Bolinopsidae","modality:Mechanoreception","HAS_SENSE"
"family:Quadrigyridae","order:Gyracanthocephala","MEMBER_OF"
"family:Quadrigyridae","modality:Chemoreception","HAS_SENSE"
"family:Quadrigyridae","modality:Mechanoreception","HAS_SENSE"
"family:Acanthobdellidae","order:Acanthobdellida","MEMBER_OF"
"family:Acanthobdellidae","modality:Mechanoreception","HAS_SENSE"
"family:Acanthobdellidae","modality:Chemoreception","HAS_SENSE"
"family:Nymphonidae","order:Pycnogonida","MEMBER_OF"
"family:Nymphonidae","modality:Chemoreception","HAS_SENSE"
"family:Nymphonidae","modality:Mechanoreception","HAS_SENSE"
"family:Sternoptychidae","order:Stomiiformes","MEMBER_OF"
"family:Sternoptychidae","modality:Photoreception","HAS_SENSE"
"family:Sternoptychidae","modality:Mechanoreception","HAS_SENSE"
"family:Sternoptychidae","modality:Chemoreception","HAS_SENSE"
"family:Gephyrothuriidae","order:Persiculida","MEMBER_OF"
"family:Fissurellidae","order:Vetigastropoda","MEMBER_OF"
"family:Fissurellidae","modality:Chemoreception","HAS_SENSE"
"family:Fissurellidae","modality:Mechanoreception","HAS_SENSE"
"family:Pyrgomatidae","order:Balanomorpha","MEMBER_OF"
"family:Pyrgomatidae","modality:Chemoreception","HAS_SENSE"
"family:Pyrgomatidae","modality:Mechanoreception","HAS_SENSE"
"family:Psychocidaridae","order:Cidaroida","MEMBER_OF"
"family:Psychocidaridae","modality:Mechanoreception","HAS_SENSE"
"family:Psychocidaridae","modality:Chemoreception","HAS_SENSE"
"family:Styelidae","order:Unknown","MEMBER_OF"
"family:Anisembiidae","order:Embioptera","MEMBER_OF"
"family:Anisembiidae","modality:Mechanoreception","HAS_SENSE"
"family:Calliostomatidae","order:Not Applicable (Information not provided)","MEMBER_OF"
"family:Thecidellinidae","order:Thecideida","MEMBER_OF"
"family:Dercetidae","order:Enchodontiformes","MEMBER_OF"
"family:Dercetidae","modality:Photoreception","HAS_SENSE"
"family:Dercetidae","modality:Mechanoreception","HAS_SENSE"
"family:Dercetidae","modality:Chemoreception","HAS_SENSE"
"family:Halichondriidae","order:Suberitida","MEMBER_OF"
"family:Halichondriidae","modality:Chemoreception","HAS_SENSE"
"family:Halichondriidae","modality:Mechanoreception","HAS_SENSE"
"family:Ancorinidae","order:Tetractinellida","MEMBER_OF"
"family:Ancorinidae","modality:Mechanoreception","HAS_SENSE"
"family:Ancorinidae","modality:Chemoreception","HAS_SENSE"
"family:Basterotiidae","order:Galeommatida","MEMBER_OF"
"family:Basterotiidae","modality:Mechanoreception","HAS_SENSE"
"family:Basterotiidae","modality:Chemoreception","HAS_SENSE"
"family:Pampatheriidae","order:Cingulata","MEMBER_OF"
"family:Chitonidae","order:Not specified","MEMBER_OF"
"family:Macrobiotidae","order:Unknown","MEMBER_OF"
"family:Pegasidae","order:Syngnathiformes","MEMBER_OF"
"family:Pegasidae","modality:Photoreception","HAS_SENSE"
"family:Pegasidae","modality:Mechanoreception","HAS_SENSE"
"family:Pegasidae","modality:Chemoreception","HAS_SENSE"
"family:Pegasidae","modality:camouflage","HAS_SENSE"
"family:Bagridae","order:Unknown","MEMBER_OF"
"family:Bagridae","modality:Photoreception","HAS_SENSE"
"family:Bagridae","modality:Chemoreception","HAS_SENSE"
"family:Bagridae","modality:Mechanoreception","HAS_SENSE"
"family:Chromadoridae","order:Chromadorida","MEMBER_OF"
"family:Acipenseridae","order:Acipenseriformes","MEMBER_OF"
"family:Acipenseridae","modality:Photoreception","HAS_SENSE"
"family:Acipenseridae","modality:Mechanoreception","HAS_SENSE"
"family:Acipenseridae","modality:Chemoreception","HAS_SENSE"
"family:Atrochidae","order:Collothecaceae","MEMBER_OF"
"family:Atrochidae","modality:Mechanoreception","HAS_SENSE"
"family:Atrochidae","modality:Chemoreception","HAS_SENSE"
"family:Geophilidae","order:Geophilomorpha","MEMBER_OF"
"family:Geophilidae","modality:Mechanoreception","HAS_SENSE"
"family:Geophilidae","modality:Chemoreception","HAS_SENSE"
"family:Andrognathidae","order:Platydesmida","MEMBER_OF"
"family:Andrognathidae","modality:Chemoreception","HAS_SENSE"
"family:Andrognathidae","modality:Mechanoreception","HAS_SENSE"
"family:Opisthocomidae","order:Opisthocomiformes","MEMBER_OF"
"family:Opisthocomidae","modality:Photoreception","HAS_SENSE"
"family:Opisthocomidae","modality:Mechanoreception","HAS_SENSE"
"family:Opisthocomidae","modality:Chemoreception","HAS_SENSE"
"family:Upupidae","order:Unknown","MEMBER_OF"
"family:Upupidae","modality:Photoreception","HAS_SENSE"
"family:Upupidae","modality:Mechanoreception","HAS_SENSE"
"family:Aegothelidae","order:Unknown","MEMBER_OF"
"family:Aegothelidae","modality:Photoreception","HAS_SENSE"
"family:Aegothelidae","modality:Mechanoreception","HAS_SENSE"
"family:Echiniscidae","order:Echiniscoidea","MEMBER_OF"
"family:Echiniscidae","modality:Mechanoreception","HAS_SENSE"
"family:Echiniscidae","modality:Chemoreception","HAS_SENSE"
"family:Mariplanellidae","order:Rhabdocoela","MEMBER_OF"
"family:Mariplanellidae","modality:Chemoreception","HAS_SENSE"
"family:Mariplanellidae","modality:Mechanoreception","HAS_SENSE"
